doctor_name,speciality,area,latitude,longitude,fees,rating,contact,address,availability_text,availability_flag
Dr Sakshi Verma,ent,rohini,28.738409,77.129181,1200.0,4.5,+91-932063418,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Tanya Sharma,ent,rohini,28.712945,77.120623,1500.0,4.8,+91-927383263,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Harpreet Kaur,ent,rohini,28.738708,77.125221,1500.0,4.1,+91-903907428,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rohit Khanna,ent,rohini,28.732233,77.114872,1200.0,4.5,+91-937967134,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sonal Arora,ent,rohini,28.705418,77.124543,1200.0,4.2,+91-968766132,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Amit Sethi,ent,rohini,28.71643,77.124796,500.0,4.9,+91-960731969,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Nivedita Jain,ent,rohini,28.703028,77.117831,900.0,3.9,+91-937692228,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Puneet Bansal,ent,rohini,28.714461,77.12202,2000.0,4.2,+91-989504956,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ishaan Malhotra,ent,rohini,28.734593,77.120449,500.0,4.8,+91-908599487,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Aakriti Goyal,ent,rohini,28.729961,77.099263,900.0,4.2,+91-921114740,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rajat Mehra,ent,rohini,28.712928,77.123025,900.0,4.4,+91-997775292,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sunaina Kapoor,ent,rohini,28.7243,77.112664,1200.0,4.5,+91-906053115,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Kunal Aggarwal,ent,rohini,28.712687,77.093502,1500.0,4.9,+91-982272613,"ENT Clinic / Hospital, Rohini, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Anil Verma,ent,shahdara,28.696588,77.291396,700.0,3.8,+91-932878096,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sonalika Sharma,ent,shahdara,28.693608,77.277601,700.0,4.2,+91-979242868,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Pratibha Gupta,ent,shahdara,28.696387,77.290083,2000.0,4.7,+91-914274285,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Mukesh Arora,ent,shahdara,28.686477,77.288041,1200.0,4.6,+91-940013754,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Suman Lata,ent,shahdara,28.688092,77.273541,1500.0,4.3,+91-929433296,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Priyanka Rana,ent,shahdara,28.668615,77.306899,900.0,4.3,+91-950733717,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Reena Bhatia,ent,shahdara,28.664051,77.274336,2000.0,4.5,+91-974763457,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Gita Chopra,ent,shahdara,28.683687,77.278597,500.0,4.3,+91-973535923,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ankush Mehra,ent,shahdara,28.687837,77.306538,1200.0,4.1,+91-973546910,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Megha Sharma,ent,shahdara,28.668744,77.278523,500.0,4.6,+91-938793355,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ritika Jain,ent,shahdara,28.691185,77.301743,1200.0,4.0,+91-904132109,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Yogita Kapoor,ent,shahdara,28.672775,77.275632,500.0,3.9,+91-978503227,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rakesh Saini,ent,shahdara,28.682843,77.283957,700.0,4.0,+91-994396550,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Shivani Gupta,ent,shahdara,28.686903,77.273995,1500.0,4.2,+91-981223813,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Asha Rani,ent,shahdara,28.678669,77.304091,700.0,4.2,+91-960072508,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Nidhi Malhotra,ent,shahdara,28.69383,77.284076,500.0,4.1,+91-923153185,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Kamalpreet Kaur,ent,shahdara,28.67084,77.273693,1200.0,4.0,+91-960247347,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Harpreet Kaur,ent,shahdara,28.696224,77.300416,700.0,3.9,+91-900057805,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Neelam Kaur,ent,shahdara,28.687146,77.305793,1200.0,4.5,+91-968102025,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sunil Aggarwal,ent,shahdara,28.697728,77.273745,1200.0,4.0,+91-954984128,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Amit Roy,ent,shahdara,28.671693,77.281503,700.0,3.9,+91-960593631,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Charu Mehra,ent,shahdara,28.674907,77.288415,500.0,4.0,+91-928262288,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sangeeta Rathi,ent,shahdara,28.673625,77.27124,500.0,4.2,+91-945074422,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rekha Saxena,ent,shahdara,28.693094,77.30848,700.0,4.2,+91-976434005,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Asha Verma,ent,shahdara,28.684628,77.280704,700.0,3.8,+91-908458818,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ritu Raj,ent,shahdara,28.676709,77.297183,2000.0,4.6,+91-978215099,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Shobha Paul,ent,shahdara,28.683583,77.29523,1500.0,4.7,+91-960571504,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Pankaj Goel,ent,shahdara,28.703761,77.289378,900.0,4.3,+91-998032332,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rohit Anand,ent,shahdara,28.690244,77.297427,2000.0,4.3,+91-995159360,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Manish Kapoor,ent,shahdara,28.679792,77.273174,1500.0,4.1,+91-999806820,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Nitin Khanna,ent,shahdara,28.66892,77.303317,900.0,3.9,+91-947279126,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Deepak Arora,ent,shahdara,28.700368,77.288543,1200.0,4.5,+91-910578948,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Payal Verma,ent,shahdara,28.680321,77.287804,1500.0,4.2,+91-916266088,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Alok Mishra,ent,shahdara,28.685029,77.276276,2000.0,3.9,+91-933038818,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Bhupesh Goyal,ent,shahdara,28.694509,77.280388,900.0,4.6,+91-994577461,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Neha Jain,ent,shahdara,28.687858,77.282581,900.0,4.2,+91-983111246,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Tushar Malhotra,ent,shahdara,28.676928,77.284752,500.0,4.4,+91-900186556,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Gaurav Sood,ent,shahdara,28.670362,77.295632,1200.0,4.2,+91-930824103,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Meenakshi Arora,ent,shahdara,28.667133,77.302101,500.0,4.5,+91-928446985,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Vikram Sethi,ent,shahdara,28.696167,77.273622,500.0,4.1,+91-927124363,"ENT Clinic / Hospital, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Amit Gupta,general medicine,dwarka,28.591685,77.05919,500.0,4.1,+91-962045811,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Neha Sharma,general medicine,dwarka,28.583532,77.06754,400.0,4.3,+91-959516674,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rohit Mehra,general medicine,dwarka,28.605612,77.067654,600.0,4.0,+91-949743172,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Poonam Jain,general medicine,dwarka,28.598372,77.060412,600.0,4.3,+91-904001543,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Suresh Kumar,general medicine,dwarka,28.584707,77.056282,400.0,4.2,+91-992571293,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Anjali Verma,general medicine,dwarka,28.594246,77.063766,700.0,4.6,+91-923211341,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rakesh Bansal,general medicine,dwarka,28.577524,77.053358,400.0,4.2,+91-957149447,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Deepak Khanna,general medicine,dwarka,28.609758,77.039875,500.0,4.6,+91-964312741,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Nidhi Aggarwal,general medicine,dwarka,28.577833,77.030304,1000.0,4.6,+91-972855579,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Karan Malhotra,general medicine,dwarka,28.592411,77.038346,1000.0,4.8,+91-905538836,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sunita Arora,general medicine,dwarka,28.606561,77.066373,400.0,4.7,+91-900442756,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Manoj Tiwari,general medicine,dwarka,28.586299,77.045518,600.0,4.1,+91-948669300,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ritu Saxena,general medicine,dwarka,28.607023,77.03629,600.0,4.0,+91-910887107,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Praveen Goel,general medicine,dwarka,28.58759,77.040116,600.0,3.9,+91-910294346,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Kavita Kapoor,general medicine,dwarka,28.587993,77.064389,400.0,4.4,+91-967048275,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Harish Goyal,general medicine,dwarka,28.575218,77.028823,500.0,4.5,+91-926753568,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sonal Jain,general medicine,dwarka,28.592526,77.04508,600.0,4.0,+91-918403172,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Aakash Verma,general medicine,dwarka,28.605024,77.048143,800.0,4.2,+91-970941164,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Naveen Sood,general medicine,dwarka,28.606589,77.033574,700.0,4.5,+91-904206747,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Meenal Arora,general medicine,dwarka,28.600318,77.05797,1000.0,4.8,+91-969647839,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Vikas Bhatia,general medicine,dwarka,28.577537,77.046313,800.0,4.7,+91-981533770,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rashmi Gupta,general medicine,dwarka,28.601243,77.029317,700.0,4.2,+91-986443048,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Tarun Chawla,general medicine,dwarka,28.576877,77.066236,1000.0,4.6,+91-933108619,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Anita Malhotra,general medicine,dwarka,28.574814,77.041651,800.0,4.2,+91-975144403,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Puneet Arora,general medicine,dwarka,28.574759,77.049693,600.0,4.3,+91-968686456,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Bhavya Khurana,general medicine,dwarka,28.60679,77.05325,600.0,4.3,+91-936132009,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Alok Mishra,general medicine,dwarka,28.609311,77.029149,1000.0,4.2,+91-956849423,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Divya Jain,general medicine,dwarka,28.612018,77.037979,500.0,4.0,+91-938881269,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sachin Mehta,general medicine,dwarka,28.575483,77.063257,1000.0,4.5,+91-949561695,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ishita Gupta,general medicine,dwarka,28.575774,77.06615,500.0,4.6,+91-950274949,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Yogesh Sharma,general medicine,dwarka,28.614358,77.060199,600.0,4.7,+91-910475255,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Renu Bansal,general medicine,dwarka,28.612015,77.065818,1000.0,4.9,+91-908438916,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Ankur Sethi,general medicine,dwarka,28.576478,77.058073,800.0,4.2,+91-997707860,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Shalini Mehra,general medicine,dwarka,28.594964,77.039195,800.0,4.6,+91-918776513,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Saurabh Jain,general medicine,dwarka,28.605649,77.03394,600.0,4.4,+91-944219925,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Monika Tandon,general medicine,dwarka,28.59506,77.035853,400.0,4.2,+91-958253641,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Amit Sood,general medicine,dwarka,28.603118,77.029943,500.0,4.1,+91-931711355,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Pallavi Joshi,general medicine,dwarka,28.589688,77.061389,400.0,3.9,+91-940692161,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rajat Khanna,general medicine,dwarka,28.598344,77.059504,400.0,4.6,+91-917234672,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Smita Kapoor,general medicine,dwarka,28.609532,77.058708,800.0,4.7,+91-984352952,"General Physician Clinic / Hospital, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr R K Jain,general medicine,krishna nagar,28.669055,77.281479,800.0,4.3,+91-989701107,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Alka Sharma,general medicine,krishna nagar,28.664141,77.273547,800.0,4.4,+91-906238900,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sunil Verma,general medicine,krishna nagar,28.646947,77.268879,1000.0,4.2,+91-924668774,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Seema Arora,general medicine,krishna nagar,28.652411,77.300609,600.0,4.5,+91-924763553,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rajesh Bhatia,general medicine,krishna nagar,28.636897,77.276577,400.0,4.8,+91-928812650,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Anita Khanna,general medicine,krishna nagar,28.663852,77.280091,1000.0,4.8,+91-910599389,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Meenakshi Gupta,general medicine,krishna nagar,28.641578,77.282518,700.0,4.7,+91-912649437,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Vikram Singh,general medicine,krishna nagar,28.643151,77.302009,400.0,4.6,+91-965974329,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Neelam Sharma,general medicine,krishna nagar,28.647116,77.293238,1000.0,4.2,+91-935298407,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Poonam Verma,general medicine,krishna nagar,28.666427,77.275041,800.0,4.5,+91-914527003,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Gaurav Malhotra,general medicine,krishna nagar,28.634692,77.287745,400.0,4.6,+91-937743142,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Tanya Singh,general medicine,krishna nagar,28.632973,77.280939,600.0,4.2,+91-988564972,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sandeep Grover,general medicine,krishna nagar,28.632833,77.290606,400.0,4.9,+91-935969405,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Richa Nanda,general medicine,krishna nagar,28.656612,77.268096,400.0,4.4,+91-971515177,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Hitesh Jain,general medicine,krishna nagar,28.64541,77.26642,700.0,4.8,+91-902266606,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Shilpa Mehra,general medicine,krishna nagar,28.661756,77.289531,1000.0,4.8,+91-981894763,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Jatin Kapoor,general medicine,krishna nagar,28.631069,77.296697,800.0,4.2,+91-922249191,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Divya Khurana,general medicine,krishna nagar,28.632844,77.283355,700.0,4.5,+91-968959368,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Arun Sharma,general medicine,krishna nagar,28.647023,77.295072,1000.0,4.6,+91-954116812,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Nisha Bansal,general medicine,krishna nagar,28.63043,77.281004,500.0,4.4,+91-940409291,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sanjay Tripathi,general medicine,krishna nagar,28.669921,77.299179,400.0,4.0,+91-938549350,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Chitra Iyer,general medicine,krishna nagar,28.648716,77.300623,400.0,3.9,+91-955284274,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Pramod Saini,general medicine,krishna nagar,28.633566,77.298969,1000.0,4.2,+91-969103897,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Komal Sehgal,general medicine,krishna nagar,28.649633,77.269385,500.0,4.9,+91-981693000,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Bhavna Rathi,general medicine,krishna nagar,28.652534,77.293933,800.0,4.5,+91-951172738,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Aarti Gupta,general medicine,krishna nagar,28.643496,77.273077,1000.0,4.8,+91-979823701,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Mayank Chawla,general medicine,krishna nagar,28.660967,77.296328,700.0,4.8,+91-998137301,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Rupali Deshmukh,general medicine,krishna nagar,28.631225,77.283435,400.0,4.6,+91-937274118,"General Physician Clinic / Hospital, Krishna Nagar, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
